event_id,payment_id,timestamp,amount,currency,payment_method,bank,region,status,failure_reason,latency_ms,customer_id,attempt_number
evt_0001783,pay_0001783,2026-08-01 00:19:21.207201,320.8,INR,WALLET,ICICI,TS,success,,1404.23,cust_004078,2
evt_0000703,pay_0000703,2026-08-01 00:20:10.880498,371.08,INR,WALLET,KOTAK,DL,success,,755.31,cust_001371,1
evt_0001671,pay_0001671,2026-08-01 00:22:07.382349,50.05,INR,WALLET,HDFC,KA,success,,1101.94,cust_001327,2
evt_0007049,pay_0007049,2026-08-01 00:23:08.280318,99.2,INR,CARD,HDFC,KA,failed,technical_error,3194.84,cust_001102,1
evt_0008324,pay_0008324,2026-08-01 00:23:35.176689,1742.7,INR,WALLET,AXIS,TN,success,,763.66,cust_001478,2
evt_0019756,pay_0019756,2026-08-01 00:23:59.134487,639.69,INR,UPI,KOTAK,DL,success,,1177.74,cust_004789,2
evt_0004444,pay_0004444,2026-08-01 00:24:24.434396,1145.19,INR,WALLET,HDFC,TN,success,,990.5,cust_005783,1
evt_0007493,pay_0007493,2026-08-01 00:25:21.238188,1751.89,INR,NETBANKING,KOTAK,MH,success,,4723.65,cust_005737,1
evt_0017415,pay_0017415,2026-08-01 00:25:51.104341,40.34,INR,CARD,HDFC,KA,success,,2165.98,cust_005424,1
evt_0019228,pay_0019228,2026-08-01 00:27:04.188572,1501.74,INR,WALLET,HDFC,AP,success,,764.53,cust_001748,1
evt_0013767,pay_0013767,2026-08-01 00:28:39.411986,1156.21,INR,NETBANKING,ICICI,KA,success,,4730.66,cust_002084,1
evt_0001394,pay_0001394,2026-08-01 00:29:17.112780,946.39,INR,UPI,AXIS,TS,success,,398.83,cust_002072,1
evt_0012643,pay_0012643,2026-08-01 00:29:32.567381,134.57,INR,UPI,KOTAK,KA,success,,1317.37,cust_001514,1
evt_0001887,pay_0001887,2026-08-01 00:30:02.416328,467.32,INR,CARD,ICICI,KA,success,,2637.89,cust_000148,1
evt_0003541,pay_0003541,2026-08-01 00:30:58.920011,889.21,INR,CARD,KOTAK,DL,success,,2287.84,cust_003836,1
evt_0014887,pay_0014887,2026-08-01 00:30:59.632434,563.99,INR,UPI,AXIS,TN,success,,1590.69,cust_004066,1
evt_0000784,pay_0000784,2026-08-01 00:31:49.447446,685.57,INR,UPI,AXIS,TS,success,,1133.79,cust_002362,1
evt_0014084,pay_0014084,2026-08-01 00:33:00.136220,174.75,INR,WALLET,HDFC,DL,success,,834.42,cust_000613,1
evt_0007201,pay_0007201,2026-08-01 00:33:30.531384,362.82,INR,CARD,HDFC,DL,success,,2410.29,cust_005361,1
evt_0019167,pay_0019167,2026-08-01 00:34:50.165319,576.14,INR,NETBANKING,AXIS,MH,failed,technical_error,4244.58,cust_000081,1
evt_0011848,pay_0011848,2026-08-01 00:36:06.733025,278.84,INR,CARD,SBI,DL,success,,2631.17,cust_002346,1
evt_0005520,pay_0005520,2026-08-01 00:37:00.987379,749.36,INR,NETBANKING,AXIS,AP,failed,authentication_failed,4406.44,cust_005040,1
evt_0019567,pay_0019567,2026-08-01 00:38:31.352994,1447.95,INR,NETBANKING,HDFC,MH,success,,4323.92,cust_005037,1
evt_0005143,pay_0005143,2026-08-01 00:39:41.809939,159.03,INR,WALLET,AXIS,MH,success,,946.36,cust_005441,3
evt_0005167,pay_0005167,2026-08-01 00:40:47.051895,1403.9,INR,UPI,HDFC,KA,success,,1854.65,cust_003949,1
evt_0008841,pay_0008841,2026-08-01 00:41:46.937295,102.69,INR,UPI,SBI,TN,success,,1355.43,cust_003706,1
evt_0017786,pay_0017786,2026-08-01 00:42:03.886285,377.24,INR,CARD,HDFC,MH,success,,2261.74,cust_000188,1
evt_0011600,pay_0011600,2026-08-01 00:42:37.265629,321.8,INR,WALLET,AXIS,TS,success,,932.67,cust_003573,1
evt_0018562,pay_0018562,2026-08-01 00:42:56.876621,133.57,INR,WALLET,HDFC,AP,success,,958.0,cust_000357,2
evt_0010895,pay_0010895,2026-08-01 00:47:24.134928,1986.62,INR,CARD,AXIS,KA,success,,4407.04,cust_004298,2
evt_0017136,pay_0017136,2026-08-01 00:48:04.940161,420.08,INR,CARD,SBI,TN,success,,2579.08,cust_000120,1
evt_0014658,pay_0014658,2026-08-01 00:48:20.921475,309.56,INR,UPI,ICICI,TS,success,,1260.14,cust_002852,2
evt_0002102,pay_0002102,2026-08-01 00:48:47.664047,653.17,INR,WALLET,ICICI,KA,success,,1402.36,cust_002007,2
evt_0002255,pay_0002255,2026-08-01 00:49:32.426721,196.09,INR,WALLET,KOTAK,TS,success,,1318.74,cust_001168,2
evt_0009518,pay_0009518,2026-08-01 00:50:06.073020,153.57,INR,WALLET,SBI,TS,success,,1059.76,cust_003442,1
evt_0003410,pay_0003410,2026-08-01 00:50:36.536249,560.36,INR,WALLET,SBI,TN,success,,1019.14,cust_001587,2
evt_0004178,pay_0004178,2026-08-01 00:50:54.808697,165.11,INR,NETBANKING,KOTAK,MH,success,,5.0,cust_002115,1
evt_0007944,pay_0007944,2026-08-01 00:52:10.743872,276.28,INR,NETBANKING,ICICI,TS,success,,2095.48,cust_004599,2
evt_0012830,pay_0012830,2026-08-01 00:53:24.551507,48.75,INR,WALLET,ICICI,AP,success,,747.29,cust_002068,1
evt_0010728,pay_0010728,2026-08-01 00:53:57.277416,1137.99,INR,WALLET,HDFC,DL,success,,958.63,cust_003829,1
evt_0017971,pay_0017971,2026-08-01 00:53:58.161890,452.59,INR,WALLET,HDFC,TS,success,,1204.33,cust_001078,1
evt_0004512,pay_0004512,2026-08-01 00:54:48.236492,1693.29,INR,UPI,HDFC,KA,success,,1420.37,cust_001914,1
evt_0015917,pay_0015917,2026-08-01 00:55:07.374817,667.37,INR,NETBANKING,AXIS,TN,success,,3376.03,cust_005744,2
evt_0009094,pay_0009094,2026-08-01 00:55:22.655405,705.62,INR,CARD,SBI,TS,failed,timeout,5998.94,cust_001843,1
evt_0007287,pay_0007287,2026-08-01 00:59:44.342070,525.64,INR,UPI,HDFC,DL,success,,1139.49,cust_002963,1
evt_0003321,pay_0003321,2026-08-01 00:59:56.110462,333.67,INR,WALLET,ICICI,KA,success,,1265.1,cust_003367,2
evt_0015025,pay_0015025,2026-08-01 01:00:08.607104,607.73,INR,NETBANKING,KOTAK,AP,failed,bank_declined,4179.87,cust_001383,1
evt_0010855,pay_0010855,2026-08-01 01:00:56.521436,175.04,INR,UPI,HDFC,MH,success,,1168.74,cust_002737,1
evt_0016921,pay_0016921,2026-08-01 01:02:16.539907,513.46,INR,UPI,HDFC,AP,success,,1408.62,cust_001207,3
evt_0005066,pay_0005066,2026-08-01 01:02:58.897766,265.26,INR,CARD,HDFC,AP,success,,1956.28,cust_002739,2
evt_0000791,pay_0000791,2026-08-01 01:03:04.971017,625.21,INR,NETBANKING,HDFC,AP,success,,3807.52,cust_000374,1
evt_0013082,pay_0013082,2026-08-01 01:04:04.804723,633.81,INR,UPI,SBI,DL,success,,1589.05,cust_001840,1
evt_0002001,pay_0002001,2026-08-01 01:04:46.327962,1642.69,INR,NETBANKING,ICICI,TS,failed,bank_declined,956.43,cust_005126,2
evt_0008263,pay_0008263,2026-08-01 01:05:00.049250,134.29,INR,WALLET,AXIS,DL,success,,712.12,cust_002936,3
evt_0015113,pay_0015113,2026-08-01 01:06:12.025298,2169.7,INR,CARD,HDFC,TS,success,,3206.64,cust_005362,1
evt_0017644,pay_0017644,2026-08-01 01:06:56.205776,89.13,INR,NETBANKING,SBI,DL,success,,3088.07,cust_005547,1
evt_0005477,pay_0005477,2026-08-01 01:07:33.459630,465.29,INR,WALLET,SBI,AP,success,,1019.45,cust_003594,1
evt_0005393,pay_0005393,2026-08-01 01:13:53.627023,651.79,INR,UPI,ICICI,MH,success,,1061.94,cust_001470,2
evt_0011915,pay_0011915,2026-08-01 01:14:04.800642,225.08,INR,WALLET,AXIS,AP,success,,1141.11,cust_005736,1
evt_0013426,pay_0013426,2026-08-01 01:14:10.534903,253.96,INR,UPI,ICICI,AP,success,,1422.22,cust_001730,2
evt_0017591,pay_0017591,2026-08-01 01:14:26.155944,121.91,INR,WALLET,KOTAK,DL,failed,technical_error,1291.52,cust_003909,1
evt_0009874,pay_0009874,2026-08-01 01:17:08.561969,77.74,INR,WALLET,KOTAK,KA,success,,971.96,cust_005886,1
evt_0001804,pay_0001804,2026-08-01 01:17:33.619173,575.37,INR,WALLET,SBI,AP,success,,857.14,cust_002088,1
evt_0015297,pay_0015297,2026-08-01 01:17:45.861868,1074.02,INR,CARD,ICICI,TN,success,,1914.55,cust_004315,1
evt_0012542,pay_0012542,2026-08-01 01:18:54.116001,562.57,INR,UPI,ICICI,TN,success,,1591.27,cust_004240,2
evt_0009831,pay_0009831,2026-08-01 01:19:31.426111,2958.74,INR,CARD,ICICI,TS,success,,3612.34,cust_005357,1
evt_0015406,pay_0015406,2026-08-01 01:19:36.778819,590.15,INR,CARD,ICICI,MH,success,,3580.95,cust_001640,1
evt_0011702,pay_0011702,2026-08-01 01:19:59.985033,293.1,INR,CARD,SBI,KA,success,,2414.08,cust_000468,2
evt_0004629,pay_0004629,2026-08-01 01:20:09.827220,940.04,INR,NETBANKING,SBI,AP,success,,3570.25,cust_003692,1
evt_0018971,pay_0018971,2026-08-01 01:21:19.135264,26.41,INR,UPI,KOTAK,AP,success,,1724.67,cust_004487,3
evt_0003861,pay_0003861,2026-08-01 01:21:59.561690,1134.78,INR,WALLET,HDFC,KA,success,,941.72,cust_001217,1
evt_0005947,pay_0005947,2026-08-01 01:23:13.122621,313.25,INR,UPI,ICICI,TN,success,,992.43,cust_003032,1
evt_0013159,pay_0013159,2026-08-01 01:23:58.993905,383.22,INR,UPI,KOTAK,TN,success,,1333.42,cust_004214,1
evt_0008423,pay_0008423,2026-08-01 01:26:25.331801,2012.51,INR,WALLET,SBI,TS,success,,1563.66,cust_005975,4
evt_0006761,pay_0006761,2026-08-01 01:28:56.425490,122.83,INR,UPI,SBI,TS,success,,1493.12,cust_004589,1
evt_0007624,pay_0007624,2026-08-01 01:29:07.631924,1064.71,INR,UPI,AXIS,TS,success,,1820.05,cust_000825,4
evt_0008977,pay_0008977,2026-08-01 01:29:17.127234,126.61,INR,NETBANKING,SBI,DL,success,,3693.0,cust_000245,2
evt_0009881,pay_0009881,2026-08-01 01:31:09.347116,1774.33,INR,UPI,SBI,TS,failed,insufficient_funds,1692.88,cust_003567,2
evt_0018431,pay_0018431,2026-08-01 01:31:46.449248,44.54,INR,NETBANKING,KOTAK,AP,success,,2372.49,cust_002878,1
evt_0012426,pay_0012426,2026-08-01 01:32:26.940055,1522.55,INR,CARD,HDFC,TN,success,,1472.17,cust_005044,1
evt_0014200,pay_0014200,2026-08-01 01:33:50.241647,193.29,INR,UPI,HDFC,AP,success,,961.75,cust_004634,1
evt_0009123,pay_0009123,2026-08-01 01:34:07.464217,710.85,INR,UPI,KOTAK,KA,success,,1150.19,cust_001683,1
evt_0019833,pay_0019833,2026-08-01 01:38:21.336389,1103.04,INR,CARD,ICICI,TS,success,,3556.19,cust_000807,1
evt_0011955,pay_0011955,2026-08-01 01:39:27.322001,335.3,INR,WALLET,AXIS,AP,success,,1051.06,cust_004195,1
evt_0002499,pay_0002499,2026-08-01 01:40:57.746105,1306.54,INR,NETBANKING,ICICI,TN,success,,5116.37,cust_003069,1
evt_0016318,pay_0016318,2026-08-01 01:41:31.151210,3352.02,INR,WALLET,SBI,AP,success,,1450.93,cust_000159,4
evt_0019637,pay_0019637,2026-08-01 01:42:36.268819,563.1,INR,CARD,HDFC,MH,success,,2059.11,cust_002069,1
evt_0015047,pay_0015047,2026-08-01 01:43:11.919168,3469.18,INR,WALLET,SBI,TS,success,,1375.03,cust_004333,3
evt_0002833,pay_0002833,2026-08-01 01:44:54.954724,136.89,INR,WALLET,ICICI,MH,failed,network_error,1687.32,cust_002662,1
evt_0009323,pay_0009323,2026-08-01 01:45:43.241405,2184.44,INR,CARD,AXIS,TS,failed,timeout,5464.26,cust_002031,1
evt_0012700,pay_0012700,2026-08-01 01:48:27.360276,162.16,INR,CARD,AXIS,MH,success,,2618.0,cust_000847,1
evt_0018852,pay_0018852,2026-08-01 01:50:52.103366,566.89,INR,CARD,KOTAK,DL,failed,insufficient_funds,2963.77,cust_003431,1
evt_0003800,pay_0003800,2026-08-01 01:52:27.094353,63.45,INR,WALLET,KOTAK,KA,failed,insufficient_funds,719.86,cust_000086,1
evt_0011072,pay_0011072,2026-08-01 01:54:07.021367,44.43,INR,CARD,SBI,AP,failed,insufficient_funds,3497.72,cust_005519,3
evt_0011958,pay_0011958,2026-08-01 01:54:22.610354,3989.67,INR,WALLET,KOTAK,TN,success,,480.91,cust_001194,1
evt_0017530,pay_0017530,2026-08-01 01:54:24.757731,228.71,INR,UPI,ICICI,KA,success,,1895.48,cust_002134,1
evt_0005277,pay_0005277,2026-08-01 01:54:44.596630,1229.55,INR,NETBANKING,SBI,AP,success,,3036.57,cust_000578,1
evt_0003463,pay_0003463,2026-08-01 01:56:39.403911,184.66,INR,CARD,KOTAK,AP,success,,2212.64,cust_000591,2
evt_0012402,pay_0012402,2026-08-01 01:57:29.955184,518.44,INR,WALLET,KOTAK,MH,success,,1318.42,cust_002377,1
evt_0007230,pay_0007230,2026-08-01 01:59:42.469885,84.33,INR,WALLET,AXIS,TN,success,,1510.17,cust_002969,1
evt_0001947,pay_0001947,2026-08-01 02:01:29.575174,152.49,INR,UPI,KOTAK,TS,success,,1386.32,cust_003885,1
evt_0017312,pay_0017312,2026-08-01 02:03:31.048877,1074.4,INR,WALLET,SBI,TN,success,,1182.99,cust_005141,2
evt_0003131,pay_0003131,2026-08-01 02:03:34.794382,4567.91,INR,NETBANKING,KOTAK,DL,success,,4033.13,cust_004992,1
evt_0017932,pay_0017932,2026-08-01 02:03:48.780618,3189.6,INR,UPI,SBI,DL,success,,1555.14,cust_004558,2
evt_0008307,pay_0008307,2026-08-01 02:04:04.789712,174.68,INR,UPI,ICICI,AP,failed,bank_declined,1538.82,cust_000178,1
evt_0005503,pay_0005503,2026-08-01 02:07:06.059204,2304.45,INR,CARD,SBI,AP,success,,2740.13,cust_000126,1
evt_0015344,pay_0015344,2026-08-01 02:08:26.778988,77.09,INR,UPI,AXIS,TS,success,,1356.37,cust_003053,1
evt_0015359,pay_0015359,2026-08-01 02:10:06.385732,1483.03,INR,WALLET,ICICI,KA,success,,483.33,cust_004682,1
evt_0008020,pay_0008020,2026-08-01 02:11:47.325702,41.94,INR,UPI,HDFC,TS,success,,1593.39,cust_004946,1
evt_0000207,pay_0000207,2026-08-01 02:13:18.307018,443.43,INR,WALLET,HDFC,KA,success,,930.46,cust_002250,1
evt_0016740,pay_0016740,2026-08-01 02:13:30.183984,1253.75,INR,WALLET,AXIS,KA,success,,1054.11,cust_004819,1
evt_0003643,pay_0003643,2026-08-01 02:13:37.510582,3516.0,INR,WALLET,KOTAK,TS,success,,1122.25,cust_004182,1
evt_0002939,pay_0002939,2026-08-01 02:13:38.134559,1042.05,INR,UPI,ICICI,TS,success,,654.91,cust_002114,1
evt_0006538,pay_0006538,2026-08-01 02:13:45.489285,123.51,INR,UPI,AXIS,DL,success,,1387.16,cust_004452,1
evt_0006710,pay_0006710,2026-08-01 02:16:25.795110,195.49,INR,CARD,SBI,MH,failed,bank_declined,2881.96,cust_004558,1
evt_0014909,pay_0014909,2026-08-01 02:16:43.402074,75.12,INR,UPI,KOTAK,KA,success,,1111.3,cust_001536,1
evt_0013847,pay_0013847,2026-08-01 02:17:08.202553,830.69,INR,CARD,ICICI,KA,success,,1083.0,cust_004651,1
evt_0010908,pay_0010908,2026-08-01 02:19:09.626777,372.01,INR,UPI,ICICI,TN,success,,745.89,cust_000329,1
evt_0012994,pay_0012994,2026-08-01 02:19:24.102477,883.98,INR,UPI,SBI,DL,success,,1051.93,cust_000193,1
evt_0006559,pay_0006559,2026-08-01 02:21:00.488189,341.95,INR,CARD,SBI,TS,success,,3857.11,cust_003997,1
evt_0007422,pay_0007422,2026-08-01 02:21:51.721550,47.48,INR,NETBANKING,AXIS,TN,success,,4495.95,cust_004037,1
evt_0018732,pay_0018732,2026-08-01 02:23:38.332779,231.32,INR,CARD,AXIS,DL,success,,3007.73,cust_002403,2
evt_0017071,pay_0017071,2026-08-01 02:24:12.567393,561.1,INR,UPI,KOTAK,MH,success,,990.26,cust_003961,1
evt_0015578,pay_0015578,2026-08-01 02:24:17.722757,952.46,INR,CARD,ICICI,MH,success,,3307.98,cust_005990,2
evt_0011223,pay_0011223,2026-08-01 02:24:30.258435,1500.34,INR,NETBANKING,SBI,TS,failed,timeout,9608.35,cust_004679,1
evt_0000547,pay_0000547,2026-08-01 02:25:38.144203,637.32,INR,UPI,KOTAK,DL,success,,1101.45,cust_003899,1
evt_0005822,pay_0005822,2026-08-01 02:28:46.056689,3912.74,INR,CARD,KOTAK,TS,success,,2375.56,cust_001838,1
evt_0001382,pay_0001382,2026-08-01 02:29:56.766055,606.22,INR,NETBANKING,AXIS,KA,success,,5075.26,cust_000786,1
evt_0000750,pay_0000750,2026-08-01 02:30:03.426281,1372.11,INR,CARD,AXIS,KA,failed,network_error,3761.37,cust_004954,2
evt_0014759,pay_0014759,2026-08-01 02:30:34.534161,260.42,INR,CARD,KOTAK,TS,failed,authentication_failed,2196.85,cust_001588,1
evt_0005736,pay_0005736,2026-08-01 02:32:39.649344,65.37,INR,NETBANKING,SBI,AP,success,,4493.73,cust_001080,1
evt_0019494,pay_0019494,2026-08-01 02:34:11.865270,473.91,INR,NETBANKING,SBI,KA,success,,6735.85,cust_002881,2
evt_0001593,pay_0001593,2026-08-01 02:34:47.708344,921.57,INR,UPI,KOTAK,AP,failed,timeout,2680.07,cust_002466,1
evt_0011536,pay_0011536,2026-08-01 02:36:34.766086,190.05,INR,UPI,HDFC,KA,success,,1303.39,cust_005495,1
evt_0005294,pay_0005294,2026-08-01 02:38:51.646711,811.35,INR,WALLET,AXIS,TN,success,,504.57,cust_002199,2
evt_0010300,pay_0010300,2026-08-01 02:40:33.065788,734.06,INR,UPI,AXIS,TS,success,,1406.62,cust_000686,1
evt_0000267,pay_0000267,2026-08-01 02:40:39.512335,186.99,INR,CARD,SBI,TS,failed,unknown,3285.68,cust_005101,1
evt_0001745,pay_0001745,2026-08-01 02:40:47.890356,381.11,INR,WALLET,ICICI,KA,success,,1016.93,cust_000943,1
evt_0006014,pay_0006014,2026-08-01 02:41:02.840541,223.05,INR,UPI,AXIS,TS,success,,1698.65,cust_001868,1
evt_0016598,pay_0016598,2026-08-01 02:42:24.485642,148.0,INR,WALLET,HDFC,AP,success,,707.66,cust_004842,1
evt_0014476,pay_0014476,2026-08-01 02:43:07.328982,406.41,INR,NETBANKING,SBI,KA,success,,5913.87,cust_002249,2
evt_0003993,pay_0003993,2026-08-01 02:47:01.231998,597.4,INR,NETBANKING,SBI,KA,success,,5307.56,cust_004331,1
evt_0008193,pay_0008193,2026-08-01 02:47:32.635021,119.8,INR,UPI,AXIS,MH,success,,950.89,cust_002604,1
evt_0006502,pay_0006502,2026-08-01 02:47:58.330610,75.47,INR,NETBANKING,ICICI,KA,success,,4305.21,cust_003870,1
evt_0001782,pay_0001782,2026-08-01 02:50:04.305918,120.75,INR,UPI,KOTAK,DL,success,,1645.22,cust_004401,1
evt_0001670,pay_0001670,2026-08-01 02:50:46.994840,91.75,INR,CARD,AXIS,DL,success,,3430.95,cust_001528,1
evt_0004605,pay_0004605,2026-08-01 02:51:46.754430,1100.21,INR,CARD,AXIS,MH,success,,2885.16,cust_003224,2
evt_0016886,pay_0016886,2026-08-01 02:54:28.367043,196.47,INR,UPI,SBI,MH,success,,1959.07,cust_005758,2
evt_0010998,pay_0010998,2026-08-01 02:55:35.417487,576.99,INR,NETBANKING,AXIS,KA,success,,2836.5,cust_005394,1
evt_0012404,pay_0012404,2026-08-01 02:55:45.569336,330.43,INR,UPI,AXIS,MH,success,,1640.82,cust_002104,1
evt_0017276,pay_0017276,2026-08-01 02:55:47.508832,364.41,INR,UPI,ICICI,AP,success,,1125.37,cust_002262,1
evt_0005125,pay_0005125,2026-08-01 02:56:22.795867,470.49,INR,UPI,AXIS,KA,success,,886.03,cust_003779,1
evt_0013897,pay_0013897,2026-08-01 02:57:17.805409,756.0,INR,NETBANKING,SBI,MH,success,,3175.18,cust_005948,1
evt_0008740,pay_0008740,2026-08-01 02:58:43.709948,439.34,INR,CARD,HDFC,TN,success,,2509.75,cust_000065,3
evt_0015300,pay_0015300,2026-08-01 02:59:15.641579,1373.34,INR,NETBANKING,HDFC,DL,success,,3345.85,cust_003654,2
evt_0015477,pay_0015477,2026-08-01 03:00:03.000023,159.56,INR,NETBANKING,SBI,KA,success,,4146.89,cust_000610,1
evt_0019628,pay_0019628,2026-08-01 03:02:10.401089,208.31,INR,NETBANKING,AXIS,DL,success,,4524.15,cust_001729,1
evt_0001367,pay_0001367,2026-08-01 03:05:58.732050,50.44,INR,NETBANKING,SBI,TS,failed,network_error,7555.26,cust_000022,1
evt_0018655,pay_0018655,2026-08-01 03:07:22.937114,304.8,INR,WALLET,KOTAK,TS,success,,993.7,cust_002633,1
evt_0007911,pay_0007911,2026-08-01 03:09:13.603744,627.36,INR,WALLET,HDFC,DL,success,,1380.69,cust_003110,1
evt_0008889,pay_0008889,2026-08-01 03:09:47.178658,1384.67,INR,NETBANKING,SBI,MH,success,,4987.79,cust_000835,1
evt_0013811,pay_0013811,2026-08-01 03:13:15.103261,475.38,INR,NETBANKING,SBI,KA,failed,network_error,6913.94,cust_004671,1
evt_0014750,pay_0014750,2026-08-01 03:14:09.414829,93.57,INR,NETBANKING,AXIS,TS,success,,2434.62,cust_004264,1
evt_0006320,pay_0006320,2026-08-01 03:14:28.714278,1345.6,INR,NETBANKING,KOTAK,AP,success,,4400.5,cust_002883,1
evt_0006372,pay_0006372,2026-08-01 03:16:51.714937,711.65,INR,UPI,SBI,KA,success,,1532.58,cust_001419,2
evt_0009155,pay_0009155,2026-08-01 03:17:22.133824,2751.56,INR,WALLET,HDFC,MH,success,,1007.94,cust_002499,1
evt_0006096,pay_0006096,2026-08-01 03:17:38.101203,536.62,INR,WALLET,ICICI,TN,success,,643.9,cust_001011,1
evt_0002042,pay_0002042,2026-08-01 03:18:26.732061,965.08,INR,UPI,HDFC,DL,success,,1351.53,cust_005344,1
evt_0003004,pay_0003004,2026-08-01 03:19:24.033210,96.58,INR,UPI,AXIS,TS,success,,1611.82,cust_004145,2
evt_0006540,pay_0006540,2026-08-01 03:19:26.384170,331.67,INR,NETBANKING,SBI,AP,success,,6034.58,cust_005346,1
evt_0016864,pay_0016864,2026-08-01 03:19:34.464899,298.27,INR,NETBANKING,SBI,MH,success,,4368.76,cust_004140,1
evt_0018534,pay_0018534,2026-08-01 03:19:46.262259,103.45,INR,CARD,SBI,AP,success,,2166.38,cust_002765,1
evt_0014755,pay_0014755,2026-08-01 03:20:25.006641,179.64,INR,CARD,ICICI,TS,success,,2050.3,cust_004070,2
evt_0008877,pay_0008877,2026-08-01 03:21:50.357539,1943.23,INR,UPI,ICICI,AP,success,,1507.29,cust_001173,1
evt_0017453,pay_0017453,2026-08-01 03:24:03.292265,2905.99,INR,WALLET,KOTAK,AP,success,,792.23,cust_002182,1
evt_0009942,pay_0009942,2026-08-01 03:24:25.655969,529.51,INR,CARD,SBI,TS,success,,2685.66,cust_005210,1
evt_0012544,pay_0012544,2026-08-01 03:25:26.746463,195.01,INR,CARD,KOTAK,AP,success,,2710.33,cust_005430,1
evt_0011297,pay_0011297,2026-08-01 03:25:29.348619,638.14,INR,WALLET,SBI,KA,success,,486.97,cust_000034,1
evt_0005457,pay_0005457,2026-08-01 03:26:02.344349,1949.49,INR,NETBANKING,ICICI,KA,success,,1823.81,cust_005052,2
evt_0018498,pay_0018498,2026-08-01 03:26:20.155973,1052.56,INR,CARD,ICICI,DL,success,,2110.7,cust_002517,2
evt_0017486,pay_0017486,2026-08-01 03:26:39.320409,429.85,INR,CARD,SBI,TN,success,,2010.99,cust_000501,1
evt_0012037,pay_0012037,2026-08-01 03:28:02.519122,645.52,INR,WALLET,SBI,AP,success,,655.61,cust_002860,1
evt_0001209,pay_0001209,2026-08-01 03:30:15.774031,599.31,INR,WALLET,HDFC,AP,success,,712.08,cust_001055,1
evt_0002081,pay_0002081,2026-08-01 03:31:22.659769,406.55,INR,WALLET,ICICI,TN,success,,1033.86,cust_003326,2
evt_0017012,pay_0017012,2026-08-01 03:31:26.762617,83.75,INR,UPI,KOTAK,MH,success,,1427.76,cust_001875,1
evt_0011921,pay_0011921,2026-08-01 03:31:29.899964,402.68,INR,UPI,KOTAK,AP,failed,insufficient_funds,1300.6,cust_005697,2
evt_0010034,pay_0010034,2026-08-01 03:34:00.681144,554.82,INR,WALLET,KOTAK,DL,success,,1365.47,cust_001568,3
evt_0012867,pay_0012867,2026-08-01 03:35:08.726888,185.39,INR,WALLET,SBI,KA,success,,489.07,cust_001372,1
evt_0015778,pay_0015778,2026-08-01 03:37:06.176401,646.48,INR,WALLET,ICICI,MH,success,,877.65,cust_002383,1
evt_0001166,pay_0001166,2026-08-01 03:37:06.226776,513.86,INR,UPI,KOTAK,DL,success,,1391.59,cust_005149,1
evt_0017949,pay_0017949,2026-08-01 03:38:32.411381,2968.24,INR,WALLET,ICICI,MH,success,,1033.63,cust_001815,4
evt_0012908,pay_0012908,2026-08-01 03:39:40.889659,699.45,INR,UPI,SBI,TS,failed,insufficient_funds,1509.56,cust_003022,1
evt_0016363,pay_0016363,2026-08-01 03:40:05.709389,3896.82,INR,CARD,KOTAK,KA,failed,bank_declined,1902.17,cust_004118,3
